http://catalogue.bnf.fr/	BENC	CTHS	http://gallica.bnf.fr/	pages	OCR	année	nº in coll.	tome	nº in série	format	sous-collection	titre	éditeur (@key)	éditeur (@ref)	auteur (@key)	auteur (@ref)	collection	exemplaire CTHS ?	regroupement (titre)	regroupement (ark, notice BnF)	code erreur	commentaire
ark:/12148/cb40729590f	6780					1904				atlas	 -	Recueil de documents relatifs à la convocation des Etats généraux en 1789. Atlas des bailliages ou juridictions assimilés ayant formé unité électorale en 1789	Brette, Armand (1848-1912)	http://catalogue.bnf.fr/ark:/12148/cb15297593z	 -	 -	Collection de documents inédits sur l'histoire de France				appartenance-incertaine	
ark:/12148/cb37567344k	25438	689				1841		1		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome I	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France		Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k	date-incertaine	daté d'après la notice CTHS 
ark:/12148/cb37567344k	25438	1100				1843		2		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome II	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k	date-incertaine	ni la notice BnF ni celle du CTHS donnent une date d'édition
ark:/12148/cb37567344k	25438		ark:/12148/bpt6k6225387r	701	98.94	1847		3		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tome III : 1e partie. - Rapports et notices. 2e partie. - Texte des documents	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		
ark:/12148/cb37567344k	25438		ark:/12148/bpt6k6227923h	700	99.96	1848		4		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque nationale et des archives ou des bibliothèques des départements. Tome IV : 1e partie. - Rapports et notices. 2e partie. - Texte des documents	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		Variation dans le titre : bibliothèque royale/nationale
ark:/12148/cb37567344k	25439		ark:/12148/bpt6k6222730d	76	98.5	1874		 -		in-4	Mélanges historiques	Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements. Tables chronologique et alphabétique des quatre volumes publiés de 1841 à 1848	Champollion-Figeac, Jacques-Joseph (1778-1867)	http://catalogue.bnf.fr/ark:/12148/cb12174688x	 -	 -	Collection de documents inédits sur l'histoire de France		Documents historiques inédits tirés des collections manuscrites de la Bibliothèque Royale et des archives ou des bibliothèques des départements	http://catalogue.bnf.fr/ark:/12148/cb37567344k		
ark:/12148/cb37568674k	53693	746	ark:/12148/bpt6k62258098	860	98.5 	1873		1		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome I	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin et en français. - Réunit ""Vie de Saint Bertin, en vers"" ; Vie et office de Saint Dié"" ; ""Définitions du chapitre de Cluny en 1323"" ; ""Correspondance française du Grand Pensionnaire Jean de Witt publiée par M. François Combes,..."" ; ""Lettres de Balzac"". "
ark:/12148/cb37568680h		745	ark:/12148/bpt6k214918w	821	 -	1877		2		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome II	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français et en arabe. - Réunit ""Pouillé du diocèse de Cahors"" ; ""Livre de Guillaume Le Maire"" ; ""Première vie de Saint Bertin en vers"" ; ""Lettres de Bossuet à Daniel Huet"" ; ""Traité d'Alger de 1694"" ; ""Extrait de l'administration de l'argenterie"" ; ""Menus, plaisirs et affaires de la chambre du roi en 1784""."
ark:/12148/cb37568681v	53693	743	ark:/12148/bpt6k2149198	823	94.62 	1880		3		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome III	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français, en ancien français et en moyen français. Détail du contenu (d'après la notice CTHS) : ""Commerce et expéditions militaires de la France et de Venise au Moyen Âge"" ; ""Testaments enregistrés au parlement de Paris sous le règne de Charles VI"" ; ""Maximes d'Etat et fragments politiques du cardinal de Richelieu""."
ark:/12148/cb37568686k	53694	690	ark:/12148/bpt6k2149206	792	99.93	1882		4		in-4	Mélanges historiques	Mélanges historiques : choix de documents. Tome IV	 -	 -	 -	 -	Collection de documents inédits sur l'histoire de France	oui	Mélanges historiques : choix de documents	http://catalogue.bnf.fr/ark:/12148/cb38783240v		"Texte en latin, en français, en moyen français et en italien. Détail du contenu (d'après la notice CTHS) : ""Pouillés des diocèses de Clermont et de Saint-Flour"" ; ""Obituaire de la commanderie du Temple de Reims"" ; ""Documents nouveaux servant de preuves à l'histoire de Chypre..."" ; ""Procès-verbal de visite en 1323 des fortifications des côtes de Provence "" ; ""Lettres de Louis XIV au cardinal de Bouillon"" ; ""Correspondance du P. Jean Le Vacher, consul de France à Alger sous le règne de Louis XIV ""."
