ark Gallica	pp
http://gallica.bnf.fr/ark:/12148/bpt6k110089k	546
http://gallica.bnf.fr/ark:/12148/bpt6k110090h	345
http://gallica.bnf.fr/ark:/12148/bpt6k1112446	828
http://gallica.bnf.fr/ark:/12148/bpt6k1144998	760
http://gallica.bnf.fr/ark:/12148/bpt6k1145002	700
http://gallica.bnf.fr/ark:/12148/bpt6k114501f	822
http://gallica.bnf.fr/ark:/12148/bpt6k114520r	768
http://gallica.bnf.fr/ark:/12148/bpt6k1145214	804
http://gallica.bnf.fr/ark:/12148/bpt6k114522h	872
http://gallica.bnf.fr/ark:/12148/bpt6k114523w	1018
http://gallica.bnf.fr/ark:/12148/bpt6k1145248	790
http://gallica.bnf.fr/ark:/12148/bpt6k114544z	629
http://gallica.bnf.fr/ark:/12148/bpt6k114570g	458
http://gallica.bnf.fr/ark:/12148/bpt6k114596f	874
http://gallica.bnf.fr/ark:/12148/bpt6k114597t	793
http://gallica.bnf.fr/ark:/12148/bpt6k1145986	707
http://gallica.bnf.fr/ark:/12148/bpt6k114654m	916
http://gallica.bnf.fr/ark:/12148/bpt6k1146626	582
http://gallica.bnf.fr/ark:/12148/bpt6k114663k	416
http://gallica.bnf.fr/ark:/12148/bpt6k114664z	398
http://gallica.bnf.fr/ark:/12148/bpt6k114665b	533
http://gallica.bnf.fr/ark:/12148/bpt6k203961f	756
http://gallica.bnf.fr/ark:/12148/bpt6k2039636	906
http://gallica.bnf.fr/ark:/12148/bpt6k203964k	1102
http://gallica.bnf.fr/ark:/12148/bpt6k203965z	795
http://gallica.bnf.fr/ark:/12148/bpt6k203966b	734
http://gallica.bnf.fr/ark:/12148/bpt6k203967q	974
http://gallica.bnf.fr/ark:/12148/bpt6k204021j	746
http://gallica.bnf.fr/ark:/12148/bpt6k204026f	889
http://gallica.bnf.fr/ark:/12148/bpt6k204027t	1062
http://gallica.bnf.fr/ark:/12148/bpt6k2040286	1084
http://gallica.bnf.fr/ark:/12148/bpt6k204029k	980
http://gallica.bnf.fr/ark:/12148/bpt6k2070412	509
http://gallica.bnf.fr/ark:/12148/bpt6k207881x	82
http://gallica.bnf.fr/ark:/12148/bpt6k2078918	252
http://gallica.bnf.fr/ark:/12148/bpt6k2081892	688
http://gallica.bnf.fr/ark:/12148/bpt6k2081900	545
http://gallica.bnf.fr/ark:/12148/bpt6k209330t	190
http://gallica.bnf.fr/ark:/12148/bpt6k2099571	113
http://gallica.bnf.fr/ark:/12148/bpt6k214918w	821
http://gallica.bnf.fr/ark:/12148/bpt6k2149198	823
http://gallica.bnf.fr/ark:/12148/bpt6k2149206	792
http://gallica.bnf.fr/ark:/12148/bpt6k214921k	640
http://gallica.bnf.fr/ark:/12148/bpt6k25143	91
http://gallica.bnf.fr/ark:/12148/bpt6k2515d	1226
http://gallica.bnf.fr/ark:/12148/bpt6k28908j	916
http://gallica.bnf.fr/ark:/12148/bpt6k28909w	764
http://gallica.bnf.fr/ark:/12148/bpt6k289103	836
http://gallica.bnf.fr/ark:/12148/bpt6k28911f	852
http://gallica.bnf.fr/ark:/12148/bpt6k28912s	672
http://gallica.bnf.fr/ark:/12148/bpt6k289134	634
http://gallica.bnf.fr/ark:/12148/bpt6k28915t	708
http://gallica.bnf.fr/ark:/12148/bpt6k289165	1180
http://gallica.bnf.fr/ark:/12148/bpt6k29276b	592
http://gallica.bnf.fr/ark:/12148/bpt6k292781	782
http://gallica.bnf.fr/ark:/12148/bpt6k29279c	1140
http://gallica.bnf.fr/ark:/12148/bpt6k29280k	948
http://gallica.bnf.fr/ark:/12148/bpt6k29281x	896
http://gallica.bnf.fr/ark:/12148/bpt6k292828	703
http://gallica.bnf.fr/ark:/12148/bpt6k29283m	144
http://gallica.bnf.fr/ark:/12148/bpt6k29284z	806
http://gallica.bnf.fr/ark:/12148/bpt6k292870	774
http://gallica.bnf.fr/ark:/12148/bpt6k29288b	796
http://gallica.bnf.fr/ark:/12148/bpt6k29289p	1034
http://gallica.bnf.fr/ark:/12148/bpt6k29290w	812
