http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb33164929c	ark:/12148/bpt6k6243594h	high	337	750394	99.96	chartes	La Gascogne dans les registres du Trésor des chartes
ark:/12148/cb36607919t	ark:/12148/bpt6k6243599k	high	774	2141290	99.96	chartes	Cartulaire de l'abbaye de Lézat. Tome I
ark:/12148/cb35322361h	ark:/12148/bpt6k62439336	high	340	801917	99.77	chartes	Recueil des actes de l'Abbaye cistercienne de Bonnefont en Comminges
ark:/12148/cb37440017k	ark:/12148/bpt6k62442956	high	258	694549	99.75	chartes	Actes relatifs à la principauté de Morée (1289-1300)
ark:/12148/cb353223605	ark:/12148/bpt6k6244381h	high	404	1120195	98.89		Comptes du sel (Libro di ragione e conto di salle) de Francesco di Marco Datini pour sa compagnie d'Avignon (1376-1379)
ark:/12148/cb34722405v	ark:/12148/bpt6k62444168	high	545	1371208	98.5 		Les statuts synodaux français du XIIIe siècle. Tome II : Les Statuts de 1230 à 1260
ark:/12148/cb36651365x	ark:/12148/bpt6k6244417p	high	496	1381422	99.97	chartes	Les chartes des évêques d'Arras (1093-1203)
ark:/12148/cb366633481	ark:/12148/bpt6k6244424t	high	664	1792679	99.96	chartes	Les pays de la Loire moyenne dans le Trésor des chartes : Berry, Blésois, Chartrain, Orléanais, Touraine, 1350-1502 : Archives nationale, JJ 80-235
ark:/12148/cb34715707w	ark:/12148/bpt6k6244433s	high	498	1364390	99.96	chartes	Le premier cartulaire de l'Abbaye cistercienne de Pontigny (XIIe-XIIIe siècles)
ark:/12148/cb376714423	ark:/12148/bpt6k6245176t	high	646	1658123	99.57		Le livre potentia des États de Provence : 1391-1523
ark:/12148/cb345907028	ark:/12148/bpt6k6245919j	high	360	927399	99.96		Documents relatifs au Clos des galées de Rouen et aux armées de mer du roi de France de 1293 à 1418. Tome premier
ark:/12148/cb366041087	ark:/12148/bpt6k62483417	high	648	1648224	99.96		Le Languedoc et le Rouergue dans le Trésor des chartes
ark:/12148/cb32941603z	ark:/12148/bpt6k6251678d	high	332	924019	99.96	chartes	Cartulaire et actes d'Enguerran de Marigny
ark:/12148/cb346379640	ark:/12148/bpt6k6251679t	high	376	880566	98.74		Les statuts synodaux français du XIIIe siècle. Tome I : Les statuts de Paris et le Synodal de l'Ouest (XIIIe siècle)
ark:/12148/cb331903897	ark:/12148/bpt6k6251808f	high	182	476628	99.72		Le terrier de Jean Jossard, coseigneur de Châtillon-d'Azergues : 1430-1463
ark:/12148/cb331222232	ark:/12148/bpt6k6252925m	high	426	1181256	99.96	chartes	Cartulaires des Templiers de Douzens
ark:/12148/cb37185828z	ark:/12148/bpt6k6260914g	high	564	1608987	99.96	chartes	Recueil des chartes de l'Abbaye de La Grasse. Tome II : 1117-1279
ark:/12148/cb36683180c	ark:/12148/bpt6k62644355	high	422	1164352	99.23		Les statuts synodaux français du XIIIe siècle. Tome IV : Les statuts synodaux de l'ancienne Province de Reims (Cambrai, Arras, Noyon, Soissons et Tournai)
ark:/12148/cb36629426m	ark:/12148/bpt6k6264436k	high	344	956778	100.0		Les statuts synodaux français du XIIIe siècle. Tome III : Les statuts synodaux angevins de la seconde moitié du XIIIe siècle précédés d'une étude sur la législation synodale angevine
ark:/12148/cb345907028	ark:/12148/bpt6k6266281b	high	360	1110292	100.0		Documents relatifs au Clos des galées de Rouen et aux armées de mer du roi de France de 1293 à 1418. Tome second
ark:/12148/cb36607919t	ark:/12148/bpt6k6288547h	high	752	2280045	99.96	chartes	Cartulaire de l'abbaye de Lézat. Tome II
ark:/12148/cb345712450	ark:/12148/bpt6k6348326s	high	646	1726136	99.9	chartes	Chartes de coutume en Picardie (XIe-XIIIe siècle)
ark:/12148/cb36663133f	ark:/12148/bpt6k6431727c	high	487	1570263	99.82		Le terrier avignonnais de l'évêque Anglic Grimoard (1366-1368)
ark:/12148/cb366875379	ark:/12148/bpt6k6436062z	high	437	1211715	99.96	chartes	Recueil des chartes de l'Abbaye de La Grasse. Tome I : 779-1119
